source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Pixar,https://boards.greenhouse.io/pixar,404,HTTP 404 (board not found),greenhouse:pixar,2026-02-16T03:55:58.528452+00:00,2026-02-16T03:55:58.528452+00:00
dead_confirmed,greenhouse,PKWARE,https://boards.greenhouse.io/pkware,404,HTTP 404 (board not found),greenhouse:pkware,2026-02-16T03:55:58.630770+00:00,2026-02-16T03:55:58.630770+00:00
dead_confirmed,greenhouse,Plaid,https://boards.greenhouse.io/plaid,404,HTTP 404 (board not found),greenhouse:plaid,2026-02-16T03:55:58.734021+00:00,2026-02-16T03:55:58.734021+00:00
dead_confirmed,greenhouse,Planview,https://boards.greenhouse.io/planview,404,HTTP 404 (board not found),greenhouse:planview,2026-02-16T03:55:58.912342+00:00,2026-02-16T03:55:58.912342+00:00
dead_confirmed,greenhouse,PlayVS,https://boards.greenhouse.io/playvs,404,HTTP 404 (board not found),greenhouse:playvs,2026-02-16T03:55:59.026263+00:00,2026-02-16T03:55:59.026263+00:00
dead_confirmed,greenhouse,Pluralsight,https://boards.greenhouse.io/pluralsight,404,HTTP 404 (board not found),greenhouse:pluralsight,2026-02-16T03:55:59.133618+00:00,2026-02-16T03:55:59.133618+00:00
dead_confirmed,greenhouse,PodcastOne,https://boards.greenhouse.io/podcastone,404,HTTP 404 (board not found),greenhouse:podcastone,2026-02-16T03:55:59.240184+00:00,2026-02-16T03:55:59.240184+00:00
dead_confirmed,greenhouse,Pok Pok Playroom,https://boards.greenhouse.io/pokpokplayroom,404,HTTP 404 (board not found),greenhouse:pokpokplayroom,2026-02-16T03:55:59.593299+00:00,2026-02-16T03:55:59.593299+00:00
dead_confirmed,greenhouse,Poly,https://boards.greenhouse.io/poly,404,HTTP 404 (board not found),greenhouse:poly,2026-02-16T03:55:59.689125+00:00,2026-02-16T03:55:59.689125+00:00
dead_confirmed,greenhouse,Pomelo,https://boards.greenhouse.io/pomelo,404,HTTP 404 (board not found),greenhouse:pomelo,2026-02-16T03:55:59.792271+00:00,2026-02-16T03:55:59.792271+00:00
dead_confirmed,greenhouse,Postmates,https://boards.greenhouse.io/postmates,404,HTTP 404 (board not found),greenhouse:postmates,2026-02-16T03:56:00.127016+00:00,2026-02-16T03:56:00.127016+00:00
dead_confirmed,greenhouse,Precisely,https://boards.greenhouse.io/precisely,404,HTTP 404 (board not found),greenhouse:precisely,2026-02-16T03:56:00.236002+00:00,2026-02-16T03:56:00.236002+00:00
dead_confirmed,greenhouse,Prelude,https://boards.greenhouse.io/prelude,404,HTTP 404 (board not found),greenhouse:prelude,2026-02-16T03:56:00.343336+00:00,2026-02-16T03:56:00.343336+00:00
dead_confirmed,greenhouse,Primer,https://boards.greenhouse.io/primer,404,HTTP 404 (board not found),greenhouse:primer,2026-02-16T03:56:00.534082+00:00,2026-02-16T03:56:00.534082+00:00
dead_confirmed,greenhouse,Prism,https://boards.greenhouse.io/prism,404,HTTP 404 (board not found),greenhouse:prism,2026-02-16T03:56:00.655024+00:00,2026-02-16T03:56:00.655024+00:00
